Title,Weight,Rating,Review and Rating,Speed,Warranty,Actual Price,Offer,Final Price After Discount
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",7 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹44,490",32% off,"₹29,990"
"Haier 8 kg AI with Inverter Motor, IPuristeam and Refresh Function, Anti Bacterial Technology, Super D...",8 kg,4.3,"1,751 Ratings & 198 Reviews",1200,5,"₹53,500",45% off,"₹28,990"
"IFB 7 kg 5 Star 2X Power Steam,Hard Water Wash Fully Automatic Front Load Washing Machine with In-buil...",7 kg,4.3,"89,954 Ratings & 8,846 Reviews",1000,4,"₹32,490",20% off,"₹25,990"
InnoQ 7.5 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automa...,7.5 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹18,990",62% off,"₹7,190"
"Haier 9 kg Oxyi Dry Technology, 1300 RPM, Spray Function, Wash Programs, Magic Filter, Rat Mesh Semi A...",9 kg,4.3,"3,122 Ratings & 181 Reviews",1300,3,"₹19,000",36% off,"₹11,990"
"Haier 8 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",8 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹30,000",43% off,"₹16,990"
InnoQ 7.5 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automa...,7.5 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹18,990",62% off,"₹7,190"
Voltas Beko by A Tata Product 7 kg Semi Automatic Top Load Washing Machine White,7 kg,4.3,"2,164 Ratings & 155 Reviews",1350,2,"₹12,490",30% off,"₹8,685"
"Voltas Beko 10 kg Fully Automatic Top Load Washing Machine Black, Grey",10 kg,4.2,"1,122 Ratings & 85 Reviews",700,1,"₹44,990",57% off,"₹19,090"
"Godrej 7.5 kg 5 Star, Zero Pressure Technology With Stainless Steel Gravity Drum Fully Automatic Top L...",7.5 kg,4.2,"7,087 Ratings & 522 Reviews",670,2,"₹28,000",44% off,"₹15,590"
"Godrej 7 kg 5 Star, Zero Pressure Technology Fills Tub 60% Faster, Stainless Steel Gravity Drum Fully ...",7 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹27,000",47% off,"₹14,100"
"Haier 7 kg Balance Clean Pulsator, Custom Wash Cycles with 15 Mins Quick Wash, Magic Filter Fully Auto...",7 kg,4.3,"35,898 Ratings & 3,027 Reviews",800,2,"₹26,000",47% off,"₹13,690"
"Voltas Beko by A Tata Product 14 kg Semi Automatic Top Load Washing Machine Maroon, White",14 kg,4.3,"18,225 Ratings & 1,310 Reviews",1350,2,"₹24,590",32% off,"₹16,490"
BOSCH 9 kg 5 Star with 1360 High RPM Spin Motor Semi Automatic Top Load Washing Machine Multicolor,9 kg,4.1,189 Ratings & 20 Reviews,1360,2,"₹20,500",30% off,"₹14,200"
"LG 7 kg 5 Star, Inverter Direct Drive Technology, 6 Motion DD, Steam, Fully Automatic Front Load Washi...",7 kg,4.4,"6,421 Ratings & 477 Reviews",1200,2,"₹44,490",32% off,"₹29,990"
"LG 7 kg 5 Star, Smart Inverter Technology, TurboDrum, Smart Diagnosis with Soft Closing Door Fully Aut...",7 kg,4.4,"73,312 Ratings & 5,366 Reviews",740,2,"₹27,490",36% off,"₹17,490"
"LG Electronics 10.5 kg Semi Automatic Top Load Washing Machine Maroon, White",10.5 kg,4.6,96 Ratings & 6 Reviews,1350,2,"₹24,490",29% off,"₹17,300"
"Voltas Beko 10 kg Fully Automatic Top Load Washing Machine with In-built Heater Black, Grey",10 kg,4.2,"1,122 Ratings & 85 Reviews",700,1,"₹45,990",56% off,"₹20,090"
FOXSKY 8 kg Semi Automatic Top Load Washing Machine Grey,8 kg,4,699 Ratings & 49 Reviews,1450,2,"₹19,990",53% off,"₹9,300"
Admiral 6.5 kg Fully Automatic Top Load Washing Machine Black,6.5 kg,3.6,33 Ratings & 6 Reviews,600,3,"₹13,999",14% off,"₹11,990"
Haier 14 kg Semi Automatic Top Load Washing Machine Black,14 kg,5,3 Ratings & 0 Reviews,1300,3,"₹31,000",35% off,"₹19,990"
InnoQ 7 kg | Turbo Wash | Buzzer | Wheels | Turbo Jet Dryer | Magic Filter | Lint Filter Semi Automati...,7 kg,4.2,"1,311 Ratings & 188 Reviews",1500,1,"₹17,990",61% off,"₹6,990"
"BOSCH 7 kg Fully Automatic Front Load Washing Machine Black, Grey",7 kg,4.3,"9,176 Ratings & 747 Reviews",1200,2,"₹50,990",39% off,"₹30,990"
Whirlpool 8 kg Semi Automatic Top Load Washing Machine Red,8 kg,4.4,244 Ratings & 19 Reviews,1400,4,"₹16,700",28% off,"₹11,990"
Godrej 6.5 kg 5 Star With I-Wash Technology Washing Machine Fully Automatic Top Load Grey,6.5 kg,4.2,"7,087 Ratings & 522 Reviews",720,2,"₹17,900",27% off,"₹12,990"
